time_slot,Bus-01_kw,Bus-02_kw,Bus-03_kw,Bus-04_kw,Staff-01_kw,Staff-02_kw,ev_total_kw,building_load_kw,contract_limit_kw,site_total_kw,tou_price_per_kwh,Bus-01_soc,Bus-02_soc,Bus-03_soc,Bus-04_soc,Staff-01_soc,Staff-02_soc
71,0.0,0.0,20.78491665314617,13.831113820663969,0.0,0.0,34.61603047381014,320.0,400.0,354.61603047381016,0.18,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.6085714285715521,0.8000000000004654,0.7000000000003077
72,0.0,0.0,0.0,21.999999999969962,0.0,0.0,21.999999999969962,210.0,400.0,231.99999999996996,0.18,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.6262500000000994,0.8000000000004654,0.7000000000003077
73,0.0,0.0,0.0,21.999999999969962,0.0,0.0,21.999999999969962,210.0,400.0,231.99999999996996,0.18,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.6439285714286467,0.8000000000004654,0.7000000000003077
74,0.0,0.0,0.0,21.999999999969962,0.0,0.0,21.999999999969962,210.0,400.0,231.99999999996996,0.18,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.6616071428571939,0.8000000000004654,0.7000000000003077
75,0.0,0.0,0.0,21.999999999969962,0.0,0.0,21.999999999969962,210.0,400.0,231.99999999996996,0.18,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.6792857142857412,0.8000000000004654,0.7000000000003077
76,0.0,0.0,0.0,22.00000000000697,0.0,0.0,22.00000000000697,140.0,400.0,162.00000000000696,0.06,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.6969642857143183,0.8000000000004654,0.7000000000003077
77,0.0,0.0,0.0,22.00000000000697,0.0,0.0,22.00000000000697,140.0,400.0,162.00000000000696,0.06,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.7146428571428953,0.8000000000004654,0.7000000000003077
78,0.0,0.0,0.0,22.00000000000697,0.0,0.0,22.00000000000697,140.0,400.0,162.00000000000696,0.06,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.7323214285714723,0.8000000000004654,0.7000000000003077
79,0.0,0.0,0.0,22.00000000000697,0.0,0.0,22.00000000000697,140.0,400.0,162.00000000000696,0.06,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.7500000000000493,0.8000000000004654,0.7000000000003077
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,400.0,140.0,0.06,0.8500000000001438,0.9000000000000775,0.8000000000000766,0.7500000000000493,0.8000000000004654,0.7000000000003077
